female	isei	w_fstuwt	wnrschbw	high_school	college	one_for	both_for	test_lang	pass_read	id_school	wvarstr
0	51	1354.76	117.2	1	0	0	1	1	1	8	1
1	69	1354.76	117.2	0	1	0	0	1	0	8	1
0	56	1354.76	117.2	0	1	0	0	1	1	8	1
0	34	1354.76	117.2	1	0	0	0	1	1	8	1
1	71	1354.76	117.2	0	1	0	0	1	0	8	1
1	70	1354.76	117.2	0	1	0	0	1	1	8	1
0	71	1354.76	117.2	1	0	0	0	1	1	8	1
1	56	1354.76	117.2	0	1	0	0	1	1	8	1
0	59	1354.76	117.2	1	0	0	0	1	0	8	1
1	54	1354.76	117.2	1	0	0	0	1	1	8	1
1	51	534.0058	62.32	0	1	0	0	1	0	9	9
1	33	534.0058	62.32	0	1	0	1	0	1	9	9
1	69	534.0058	62.32	0	1	0	0	1	1	9	9
1	59	534.0058	62.32	0	0	0	0	1	1	9	9
1	66	534.0058	62.32	1	0	0	0	1	0	9	9
0	43	534.0058	62.32	0	1	0	0	1	0	9	9
0	30	534.0058	62.32	1	0	0	0	1	0	9	9
0	53	534.0058	62.32	0	1	0	0	1	0	9	9
0	30	1353.09	181.99	1	0	0	1	1	0	10	28
1	56	1202.747	181.99	1	0	0	0	1	1	10	28
0	29	1202.747	181.99	0	1	0	0	1	1	10	28
1	69	1202.747	181.99	1	0	0	0	1	1	10	28
0	50	1202.747	181.99	0	1	0	0	1	0	10	28
1	51	1202.747	181.99	0	1	0	0	1	0	10	28
1	71	1202.747	181.99	1	0	0	0	1	0	10	28
0	67	1353.09	181.99	0	1	0	0	1	0	10	28
0	38	1353.09	181.99	1	0	0	0	1	0	10	28
0	30	1353.09	181.99	1	0	0	0	1	0	10	28
1	29	1202.747	181.99	0	0	0	0	1	1	10	28
1	77	1353.09	181.99	0	1	0	0	1	1	10	28
0	54	1353.09	181.99	0	1	0	0	1	0	10	28
1	21	1202.747	181.99	0	1	0	0	1	1	10	28
1	23	1202.747	181.99	1	0	0	0	1	1	10	28
0	44	1202.747	181.99	0	1	0	0	1	0	10	28
0	30	1353.09	181.99	0	1	0	0	1	0	10	28
1	50	1202.747	181.99	0	1	0	0	1	1	10	28
1	70	1202.747	181.99	1	0	0	0	1	0	10	28
0	71	1353.09	181.99	0	1	0	0	1	0	10	28
0	23	1202.747	181.99	0	1	0	0	1	0	10	28
1	25	1202.747	181.99	0	1	0	0	1	0	10	28
1	29	694.7062	36.76	0	1	1	0	1	0	11	11
1	21	694.7062	36.76	1	0	0	0	1	0	11	11
1	51	694.7062	36.76	1	0	0	0	1	1	11	11
1	71	602.382	36.76	0	1	0	1	1	0	11	11
0	29	694.7062	36.76	1	0	0	1	1	0	11	11
0	34	694.7062	36.76	1	0	0	0	1	0	11	11
0	23	694.7062	36.76	1	0	0	0	1	0	11	11
1	30	694.7062	36.76	1	0	0	0	1	0	11	11
0	69	694.7062	36.76	0	1	1	0	1	1	11	11
0	30	694.7062	36.76	0	1	0	0	1	0	11	11
1	52	694.7062	36.76	1	0	0	0	1	0	11	11
1	44	694.7062	36.76	1	0	0	0	1	0	11	11
0	69	694.7062	36.76	0	1	0	0	1	0	11	11
1	56	602.382	36.76	0	1	0	0	1	0	11	11
1	59	694.7062	36.76	1	0	0	0	1	0	11	11
0	49	1201.321	102.37	0	1	0	0	1	1	12	29
0	59	1201.321	102.37	0	1	0	0	1	1	12	29
1	42	1201.321	102.37	1	0	1	0	1	1	12	29
1	69	1201.321	102.37	0	1	0	0	1	1	12	29
0	68	1201.321	102.37	0	1	0	1	0	1	12	29
1	53	1201.321	102.37	0	1	0	0	1	1	12	29
0	40	1201.321	102.37	0	1	0	0	1	0	12	29
1	70	1351.486	102.37	0	1	0	0	1	1	12	29
0	38	1201.321	102.37	1	0	0	0	1	0	12	29
0	40	1201.321	102.37	0	1	0	1	1	1	12	29
1	74	1201.321	102.37	0	1	0	0	1	1	12	29
1	59	1201.321	102.37	0	1	0	0	1	0	12	29
1	71	1201.321	102.37	0	1	0	1	1	1	12	29
0	28	1351.486	102.37	0	1	0	0	1	0	12	29
0	69	1201.321	102.37	0	1	0	0	1	1	12	29
1	34	1201.321	102.37	1	0	0	0	1	1	12	29
1	50	1201.321	102.37	0	1	0	0	1	1	12	29
1	34	1201.321	102.37	1	0	0	0	1	1	12	29
1	51	1201.321	102.37	0	1	0	1	1	1	12	29
0	88	1201.321	102.37	0	1	1	0	1	0	12	29
1	54	1201.321	102.37	0	1	0	0	1	0	12	29
1	33	1201.321	102.37	1	0	0	0	1	0	12	29
0	69	1201.321	102.37	0	1	0	0	1	0	12	29
0	58	1201.321	102.37	1	0	1	0	1	1	12	29
0	29	1201.321	102.37	0	1	0	0	1	1	12	29
1	40	316.1323	316.13	0	1	0	0	1	0	13	11
1	39	316.1323	316.13	1	0	0	0	1	1	13	11
0	31	316.1323	316.13	1	0	0	0	1	0	13	11
1	34	316.1323	316.13	0	1	0	1	1	0	13	11
0	38	316.1323	316.13	0	1	0	1	0	0	13	11
0	49	316.1323	316.13	0	1	0	0	1	1	13	11
1	53	316.1323	316.13	0	1	0	0	1	1	13	11
1	53	316.1323	316.13	0	1	0	0	1	0	13	11
1	16	949.0488	180.92	1	0	0	0	1	0	14	33
0	29	949.0488	180.92	1	0	0	0	1	0	14	33
1	30	949.0488	180.92	0	1	0	0	1	0	14	33
1	30	708.1446	37.14	1	0	0	0	1	0	15	33
1	16	708.1446	37.14	1	0	0	0	1	0	15	33
0	34	708.1446	37.14	0	1	0	0	1	0	15	33
0	23	708.1446	37.14	1	0	0	0	1	0	15	33
1	21	614.0344	37.14	1	0	0	0	1	0	15	33
1	51	614.0344	37.14	0	1	1	0	1	0	15	33
1	42	708.1446	37.14	0	1	0	0	1	0	15	33
1	43	708.1446	37.14	1	0	0	0	1	0	15	33
0	23	708.1446	37.14	0	0	0	0	1	0	15	33
1	29	708.1446	37.14	0	0	0	0	1	0	15	33
0	70	1680.006	86.01	0	1	0	0	1	1	16	33
0	49	1890.007	86.01	0	1	0	0	1	1	16	33
0	71	1680.006	86.01	0	1	0	0	1	0	16	33
0	29	1890.007	86.01	1	0	0	0	1	1	16	33
1	40	1680.006	86.01	1	0	0	0	1	1	16	33
1	57	1680.006	86.01	0	1	0	0	1	1	16	33
1	70	1680.006	86.01	0	1	0	0	1	1	16	33
0	58	1680.006	86.01	0	1	0	0	1	0	16	33
0	34	1680.006	86.01	1	0	1	0	1	1	16	33
0	56	1680.006	86.01	1	0	0	0	1	0	16	33
1	69	1680.006	86.01	0	1	0	0	1	1	16	33
0	68	1680.006	86.01	0	1	0	0	1	1	16	33
1	61	1680.006	86.01	1	0	0	0	1	1	16	33
0	67	1680.006	86.01	0	1	0	0	1	1	16	33
1	30	1680.006	86.01	1	0	0	0	1	1	16	33
0	69	1680.006	86.01	0	1	0	0	1	1	16	33
1	77	1680.006	86.01	0	1	0	0	1	1	16	33
1	66	1680.006	86.01	0	1	0	0	1	1	16	33
1	51	1680.006	86.01	1	0	0	0	1	0	16	33
0	29	1680.006	86.01	1	0	0	0	1	1	16	33
1	56	1890.007	86.01	1	0	0	0	1	0	16	33
1	54	130.3095	34.13	0	1	0	0	1	1	17	34
0	56	130.3095	34.13	0	1	0	0	1	1	17	34
0	56	130.3095	34.13	0	1	0	0	1	0	17	34
0	35	130.3095	34.13	0	0	0	1	0	0	17	34
0	44	130.3095	34.13	1	0	0	1	0	0	17	34
1	29	130.3095	34.13	1	0	0	0	1	0	17	34
1	38	130.3095	34.13	0	1	0	1	0	0	17	34
0	21	448.7549	54.63	0	1	0	0	1	0	18	34
1	52	448.7549	54.63	1	0	0	0	1	0	18	34
0	37	389.1167	54.63	0	1	1	0	1	0	18	34
1	33	448.7549	54.63	0	1	0	0	1	1	18	34
1	37	448.7549	54.63	0	1	0	0	1	0	18	34
1	50	448.7549	54.63	0	1	0	0	1	1	18	34
0	30	448.7549	54.63	1	0	0	0	1	0	18	34
0	34	448.7549	54.63	0	1	0	0	1	1	18	34
0	53	448.7549	54.63	1	0	0	0	1	0	18	34
0	33	389.1167	54.63	0	1	0	0	1	0	18	34
0	26	448.7549	54.63	1	0	0	0	1	1	18	34
0	54	389.1167	54.63	0	1	0	0	1	0	18	34
1	50	448.7549	54.63	0	1	1	0	1	1	18	34
1	59	448.7549	54.63	0	1	0	0	1	1	18	34
1	43	448.7549	54.63	0	1	0	0	1	1	18	34
0	70	448.7549	54.63	1	0	0	0	1	1	18	34
1	22	448.7549	54.63	0	1	0	0	1	0	18	34
1	29	448.7549	54.63	0	1	0	0	1	0	18	34
0	27	448.7549	54.63	1	0	0	0	1	0	18	34
1	43	448.7549	54.63	0	1	0	0	1	0	18	34
0	28	448.7549	54.63	0	0	0	1	1	0	18	34
0	29	1140.898	154.4	0	1	0	0	1	0	19	34
1	30	1140.898	154.4	0	1	0	0	1	1	19	34
0	56	1283.51	154.4	0	1	0	0	1	1	19	34
0	77	1140.898	154.4	0	1	0	0	1	1	19	34
1	28	1140.898	154.4	0	1	0	0	1	1	19	34
1	30	1140.898	154.4	1	0	1	0	1	1	19	34
0	42	1140.898	154.4	1	0	0	0	1	1	19	34
1	56	1283.51	154.4	0	1	0	0	1	0	19	34
1	30	1140.898	154.4	1	0	0	0	1	1	19	34
0	59	1140.898	154.4	0	1	0	0	1	1	19	34
0	56	1140.898	154.4	0	1	0	0	1	1	19	34
0	34	1140.898	154.4	1	0	0	0	1	1	19	34
1	43	1140.898	154.4	1	0	0	0	1	0	19	34
0	69	1283.51	154.4	0	1	0	0	1	1	19	34
0	67	1283.51	154.4	0	1	0	1	0	1	19	34
1	45	1140.898	154.4	1	0	0	0	1	1	19	34
1	51	1140.898	154.4	1	0	0	0	1	1	19	34
1	29	1140.898	154.4	1	0	0	0	1	0	19	34
0	19	1283.51	154.4	0	1	0	0	1	0	19	34
1	69	1283.51	154.4	0	1	0	0	1	1	19	34
1	50	1140.898	154.4	0	1	0	0	1	1	19	34
0	69	1140.898	154.4	0	1	0	0	1	1	19	34
0	88	1283.51	154.4	0	1	0	0	1	1	19	34
0	64	1283.51	154.4	0	1	0	0	1	0	19	34
0	77	1140.898	154.4	0	1	0	0	1	1	19	34
1	51	2473.277	2139.63	0	1	0	0	1	1	20	41
1	67	2473.277	2139.63	0	1	0	0	1	0	20	41
0	51	947.2844	646.17	0	1	0	0	1	0	21	41
0	67	947.2844	646.17	0	1	0	0	1	0	21	41
0	69	947.2844	646.17	0	1	0	0	1	1	21	41
1	69	947.2844	646.17	1	0	0	0	1	1	21	41
1	34	947.2844	646.17	0	1	0	0	1	0	21	41
0	22	947.2844	646.17	0	1	0	0	1	1	21	41
0	53	947.2844	646.17	0	1	0	0	1	1	21	41
1	69	947.2844	646.17	0	1	0	0	1	0	21	41
1	29	947.2844	646.17	1	0	0	0	1	0	21	41
1	40	947.2844	646.17	0	1	0	0	1	0	21	41
0	70	947.2844	646.17	0	1	0	0	1	0	21	41
0	53	947.2844	646.17	1	0	0	0	1	0	21	41
1	85	947.2844	646.17	0	1	0	0	1	1	21	41
1	70	947.2844	646.17	0	1	0	0	1	1	21	41
0	69	947.2844	646.17	0	1	0	0	1	1	21	41
1	32	947.2844	646.17	1	0	0	0	1	0	21	41
1	32	947.2844	646.17	0	0	0	0	1	0	21	41
0	54	947.2844	646.17	0	1	0	0	1	0	21	41
1	34	1239.687	111.55	1	0	0	0	1	0	22	41
1	34	1239.687	111.55	1	0	0	0	1	1	22	41
0	43	1239.687	111.55	0	1	0	0	1	0	22	41
0	70	1239.687	111.55	1	0	0	0	1	0	22	41
1	74	1239.687	111.55	0	1	0	0	1	1	22	41
0	34	1239.687	111.55	1	0	0	0	1	0	22	41
1	69	1239.687	111.55	0	1	0	0	1	1	22	41
1	34	1239.687	111.55	1	0	0	0	1	0	22	41
0	38	1239.687	111.55	0	1	0	0	1	0	22	41
1	30	1239.687	111.55	1	0	0	0	1	0	22	41
1	34	1239.687	111.55	1	0	0	0	1	0	22	41
1	34	1239.687	111.55	1	0	0	0	1	0	22	41
1	51	1239.687	111.55	0	1	0	0	1	1	22	41
0	50	1239.687	111.55	1	0	0	0	1	1	22	41
0	16	1239.687	111.55	1	0	0	0	1	0	22	41
0	54	1239.687	111.55	0	1	0	0	1	0	22	41
1	70	355.1358	245.23	0	1	0	0	1	0	23	42
1	29	416.7517	245.23	0	1	0	0	1	0	23	42
0	36	416.7517	245.23	0	0	0	0	1	0	23	42
0	53	355.1358	245.23	1	0	0	0	1	0	23	42
1	29	355.1358	245.23	1	0	0	0	1	0	23	42
0	23	416.7517	245.23	1	0	0	0	1	0	23	42
1	21	416.7517	245.23	1	0	0	0	1	0	23	42
0	29	416.7517	245.23	0	0	0	0	1	0	23	42
1	29	355.1358	245.23	0	0	0	0	1	0	23	42
0	21	355.1358	245.23	1	0	0	0	1	0	23	42
1	21	416.7517	245.23	0	1	0	0	1	1	23	42
1	59	416.7517	245.23	0	1	0	0	1	0	23	42
0	34	355.1358	245.23	0	1	0	0	1	0	23	42
0	28	380.5785	167.53	1	0	0	0	1	0	24	42
1	53	324.3106	167.53	1	0	0	0	1	0	24	42
1	30	324.3106	167.53	1	0	0	0	1	1	24	42
1	32	324.3106	167.53	0	1	0	0	1	0	24	42
1	16	324.3106	167.53	0	1	0	0	1	0	24	42
0	25	324.3106	167.53	0	1	0	0	1	0	24	42
0	28	324.3106	167.53	0	1	0	0	1	0	24	42
0	28	324.3106	167.53	1	0	0	0	1	0	24	42
1	29	380.5785	167.53	0	1	0	0	1	0	24	42
1	21	380.5785	167.53	0	0	0	0	1	0	24	42
0	28	380.5785	167.53	0	1	0	0	1	0	24	42
1	30	380.5785	167.53	0	1	0	0	1	0	24	42
0	53	380.5785	167.53	0	1	0	0	1	0	24	42
0	16	380.5785	167.53	0	1	0	0	1	0	24	42
1	51	380.5785	167.53	1	0	0	0	1	0	24	42
1	23	368.2662	122.76	0	0	0	0	1	0	25	42
0	56	368.2662	122.76	1	0	0	0	1	0	25	42
1	29	368.2662	122.76	1	0	0	0	1	0	25	42
1	34	368.2662	122.76	1	0	0	0	1	0	25	42
1	30	368.2662	122.76	0	1	0	0	1	0	25	42
0	29	368.2662	122.76	0	1	0	0	1	0	25	42
1	30	368.2662	122.76	0	1	0	0	1	0	25	42
0	30	368.2662	122.76	1	0	0	0	1	0	25	42
1	21	368.2662	122.76	1	0	0	0	1	0	25	42
0	29	368.2662	122.76	1	0	0	0	1	0	25	42
1	33	368.2662	122.76	0	1	0	0	1	0	25	42
1	24	368.2662	122.76	1	0	0	0	1	1	25	42
1	34	368.2662	122.76	0	1	0	0	1	0	25	42
0	30	368.2662	122.76	1	0	0	0	1	0	25	42
1	38	368.2662	122.76	1	0	0	0	1	0	25	42
1	54	368.2662	122.76	0	1	0	0	1	1	25	42
0	29	368.2662	122.76	0	1	0	0	1	0	25	42
0	70	368.2662	122.76	1	0	0	0	1	0	25	42
1	22	2380.953	1821.74	1	0	0	0	1	0	26	42
0	34	2380.953	1821.74	1	0	0	0	1	0	26	42
1	30	856.0093	151.81	1	0	0	0	1	0	27	42
1	67	856.0093	151.81	0	1	0	0	1	0	27	42
1	46	856.0093	151.81	0	1	1	0	1	1	27	42
1	19	856.0093	151.81	1	0	0	0	1	1	27	42
1	28	856.0093	151.81	1	0	0	0	1	0	27	42
0	34	856.0093	151.81	1	0	0	0	1	1	27	42
1	34	856.0093	151.81	0	1	0	0	1	1	27	42
0	67	1004.527	151.81	1	0	0	0	1	0	27	42
1	32	856.0093	151.81	1	0	0	0	1	0	27	42
1	59	856.0093	151.81	0	1	0	0	1	1	27	42
1	29	856.0093	151.81	0	1	0	0	1	0	27	42
1	29	1004.527	151.81	1	0	0	0	1	0	27	42
0	30	856.0093	151.81	0	1	0	0	1	0	27	42
1	22	856.0093	151.81	1	0	0	0	1	0	27	42
1	68	856.0093	151.81	0	1	0	0	1	0	27	42
1	35	856.0093	151.81	0	1	0	0	1	0	27	42
1	29	856.0093	151.81	0	1	0	0	1	0	27	42
1	64	856.0093	151.81	0	1	0	0	1	1	27	42
0	50	856.0093	151.81	1	0	0	0	1	0	27	42
0	29	856.0093	151.81	0	0	0	0	1	1	27	42
1	21	290.5679	98.49	1	0	0	0	1	0	28	42
1	34	290.5679	98.49	1	0	0	0	1	1	28	42
1	74	290.5679	98.49	0	1	0	0	1	1	28	42
0	69	290.5679	98.49	0	1	0	0	1	1	28	42
1	67	290.5679	98.49	1	0	0	0	1	0	28	42
0	30	290.5679	98.49	1	0	0	0	1	0	28	42
1	34	290.5679	98.49	1	0	0	0	1	1	28	42
1	69	290.5679	98.49	0	1	0	0	1	1	28	42
1	37	290.5679	98.49	1	0	0	0	1	0	28	42
0	40	290.5679	98.49	1	0	0	0	1	0	28	42
1	56	290.5679	98.49	1	0	0	0	1	1	28	42
1	33	290.5679	98.49	1	0	0	0	1	1	28	42
1	50	290.5679	98.49	1	0	0	0	1	1	28	42
0	29	290.5679	98.49	1	0	0	0	1	1	28	42
0	33	290.5679	98.49	0	1	0	0	1	0	28	42
0	43	290.5679	98.49	1	0	0	0	1	0	28	42
0	50	290.5679	98.49	1	0	0	0	1	0	28	42
1	40	540.0363	149.55	0	1	0	0	1	1	29	41
0	50	540.0363	149.55	1	0	0	0	1	0	29	41
0	25	540.0363	149.55	1	0	0	0	1	0	29	41
1	22	540.0363	149.55	1	0	0	0	1	0	29	41
0	53	540.0363	149.55	0	1	0	0	1	0	29	41
1	23	540.0363	149.55	0	1	0	0	1	0	29	41
1	40	540.0363	149.55	1	0	0	0	1	0	29	41
1	67	540.0363	149.55	1	0	0	0	1	1	29	41
1	25	540.0363	149.55	0	0	0	0	1	0	29	41
0	41	540.0363	149.55	1	0	0	0	1	0	29	41
1	40	540.0363	149.55	0	0	0	0	1	0	29	41
1	40	540.0363	149.55	0	1	0	0	1	0	29	41
0	34	454.3866	75.94	0	0	0	0	1	0	30	41
1	30	454.3866	75.94	0	1	0	0	1	1	30	41
1	67	454.3866	75.94	0	1	0	0	1	0	30	41
1	74	454.3866	75.94	0	1	0	0	1	1	30	41
1	28	533.2225	75.94	0	1	0	0	1	0	30	41
1	21	454.3866	75.94	1	0	0	0	1	0	30	41
1	58	454.3866	75.94	1	0	1	0	1	1	30	41
0	30	454.3866	75.94	1	0	0	0	1	0	30	41
1	30	533.2225	75.94	1	0	0	0	1	0	30	41
1	38	454.3866	75.94	0	1	0	0	1	0	30	41
1	51	454.3866	75.94	1	0	0	0	1	0	30	41
1	21	454.3866	75.94	1	0	0	0	1	0	30	41
0	34	533.2225	75.94	0	1	0	0	1	0	30	41
0	31	533.2225	75.94	0	0	0	0	1	0	30	41
1	34	533.2225	75.94	1	0	0	0	1	0	30	41
0	53	454.3866	75.94	1	0	0	0	1	0	30	41
1	34	454.3866	75.94	0	0	0	0	1	0	30	41
0	40	144.7146	96.36	1	0	1	0	1	0	31	36
1	36	144.7146	96.36	1	0	0	1	0	0	31	36
1	56	537.2266	29.37	0	1	0	0	1	0	32	36
1	85	537.2266	29.37	0	1	0	1	0	0	32	36
1	77	537.2266	29.37	0	1	0	0	1	0	32	36
0	77	537.2266	29.37	1	0	1	0	1	1	32	36
1	53	537.2266	29.37	0	1	0	0	1	1	32	36
0	29	537.2266	29.37	0	1	0	0	1	1	32	36
1	51	537.2266	29.37	0	1	0	0	1	1	32	36
1	40	537.2266	29.37	0	0	0	1	1	0	32	36
0	54	537.2266	29.37	1	0	0	1	0	0	32	36
1	51	537.2266	29.37	0	1	0	0	1	0	32	36
1	67	537.2266	29.37	1	0	0	0	1	1	32	36
0	68	537.2266	29.37	0	1	0	1	1	0	32	36
1	31	537.2266	29.37	0	1	0	0	1	1	32	36
0	23	537.2266	29.37	1	0	0	1	1	0	32	36
1	30	537.2266	29.37	1	0	1	0	1	0	32	36
0	23	537.2266	29.37	1	0	0	0	1	0	32	36
1	56	537.2266	29.37	0	1	1	0	1	1	32	36
0	66	537.2266	29.37	0	1	1	0	1	0	32	36
0	50	537.2266	29.37	0	1	0	1	1	0	32	36
1	56	537.2266	29.37	0	1	0	1	0	0	32	36
0	56	763.87	21.52	0	1	0	1	0	0	33	36
1	67	763.87	21.52	1	0	0	1	0	0	33	36
1	59	763.87	21.52	1	0	0	0	1	0	33	36
0	30	763.87	21.52	0	0	0	1	1	0	33	36
0	59	660.057	16.77	0	1	0	1	0	0	34	36
0	69	660.057	16.77	0	1	0	1	1	0	34	36
1	53	660.057	16.77	0	1	0	1	0	1	34	36
0	56	660.057	16.77	1	0	0	1	0	0	34	36
0	30	660.057	16.77	0	1	1	0	1	0	34	36
1	69	660.057	16.77	0	1	1	0	1	1	34	36
1	38	660.057	16.77	0	1	0	1	0	0	34	36
1	23	660.057	16.77	1	0	0	1	0	1	34	36
1	34	660.057	16.77	0	1	0	1	0	1	34	36
0	59	622.5074	57.96	1	0	0	0	1	1	35	36
0	43	622.5074	57.96	0	1	0	0	1	0	35	36
1	49	622.5074	57.96	0	1	0	0	1	1	35	36
0	70	622.5074	57.96	0	1	0	0	1	1	35	36
1	51	622.5074	57.96	0	1	0	0	1	1	35	36
1	50	622.5074	57.96	0	1	0	0	1	1	35	36
0	51	622.5074	57.96	1	0	0	0	1	0	35	36
0	30	622.5074	57.96	1	0	0	0	1	1	35	36
0	56	622.5074	57.96	1	0	0	0	1	1	35	36
1	50	622.5074	57.96	0	1	0	0	1	1	35	36
0	88	622.5074	57.96	0	1	0	0	1	1	35	36
1	33	622.5074	57.96	0	1	0	0	1	1	35	36
0	31	622.5074	57.96	1	0	0	0	1	1	35	36
0	40	515.0528	36.22	0	1	0	0	1	1	36	36
1	59	515.0528	36.22	1	0	0	0	1	1	36	36
1	43	515.0528	36.22	0	1	0	0	1	0	36	36
1	69	515.0528	36.22	0	1	0	0	1	1	36	36
0	56	515.0528	36.22	0	1	0	0	1	0	36	36
0	45	515.0528	36.22	0	1	0	0	1	0	36	36
1	34	515.0528	36.22	0	1	0	0	1	0	36	36
0	33	515.0528	36.22	1	0	0	0	1	0	36	36
1	33	515.0528	36.22	0	1	0	0	1	1	36	36
1	69	515.0528	36.22	0	1	0	1	1	0	36	36
1	53	515.0528	36.22	1	0	0	0	1	1	36	36
0	43	515.0528	36.22	0	1	0	1	1	0	36	36
1	34	515.0528	36.22	1	0	0	0	1	0	36	36
0	69	515.0528	36.22	0	1	0	1	1	0	36	36
0	43	515.0528	36.22	0	1	0	0	1	0	36	36
1	30	515.0528	36.22	0	1	1	0	1	1	36	36
1	30	515.0528	36.22	0	1	0	0	1	0	36	36
